"URL","HTTP","FinalURL","Saltos","Resultado"
"https://www.jgm4consultoria.com.br/","200","https://www.jgm4consultoria.com.br/","0","OK"
"https://www.jgm4consultoria.com.br/blog/absenteismo-nas-empresas.html","200","https://www.jgm4consultoria.com.br/blog/absenteismo-nas-empresas.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/agendamento-entregas-controle-docas.html","200","https://www.jgm4consultoria.com.br/blog/agendamento-entregas-controle-docas.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/case-art-latex-wms-integrado-sankhya.html","200","https://www.jgm4consultoria.com.br/blog/case-art-latex-wms-integrado-sankhya.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como_controlar_estoques.html","200","https://www.jgm4consultoria.com.br/blog/como_controlar_estoques.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-calcular-percentual-frete-sobre-venda.html","200","https://www.jgm4consultoria.com.br/blog/como-calcular-percentual-frete-sobre-venda.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-comparar-tabelas-transportadoras.html","200","https://www.jgm4consultoria.com.br/blog/como-comparar-tabelas-transportadoras.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-dimensionar-centro-de-distribuicao.html","200","https://www.jgm4consultoria.com.br/blog/como-dimensionar-centro-de-distribuicao.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-identificar-cobrancas-indevidas-cte.html","200","https://www.jgm4consultoria.com.br/blog/como-identificar-cobrancas-indevidas-cte.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-reduzir-custo-frete-sem-trocar-transportadora.html","200","https://www.jgm4consultoria.com.br/blog/como-reduzir-custo-frete-sem-trocar-transportadora.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/como-sair-do-caos-gestao-processos-metodologia-agil.html","200","https://www.jgm4consultoria.com.br/blog/como-sair-do-caos-gestao-processos-metodologia-agil.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/consultoria-logistica-brasil-es.html","200","https://www.jgm4consultoria.com.br/blog/consultoria-logistica-brasil-es.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/consultoria.html","200","https://www.jgm4consultoria.com.br/blog/consultoria.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/costos-logisticos-brasil.html","200","https://www.jgm4consultoria.com.br/blog/costos-logisticos-brasil.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/curriculo-logistica.html","200","https://www.jgm4consultoria.com.br/blog/curriculo-logistica.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/custos-logisticos.html","200","https://www.jgm4consultoria.com.br/blog/custos-logisticos.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/eficiencia-logistica.html","200","https://www.jgm4consultoria.com.br/blog/eficiencia-logistica.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/estoque-nao-bate.html","200","https://www.jgm4consultoria.com.br/blog/estoque-nao-bate.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/frete-alto-principais-causas.html","200","https://www.jgm4consultoria.com.br/blog/frete-alto-principais-causas.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/frete-minimo-pedido-deficitario.html","200","https://www.jgm4consultoria.com.br/blog/frete-minimo-pedido-deficitario.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/gestao_estoques.html","200","https://www.jgm4consultoria.com.br/blog/gestao_estoques.html","0","OK"
"https://www.jgm4consultoria.com.br/blog/gestao-de-conflitos.html","200","https://www.jgm4consultoria.com.br/blog/gestao-de-conflitos.html","0","OK"
